date,location,flavor,size,qty,defecttype,cavitynum,jobnum,shift
9/6/14,2,Org Avocado Greens,15.2,1,2,,167899,2
9/6/14,2,Apple Berry,15.2,61,7,,167916,2
9/6/14,2,Apple Berry,15.2,8,2,,167916,2
9/6/14,2,Apple Berry,15.2,13,1,,167916,2
9/6/14,2,Apple Berry,15.2,1,3,,167916,2
9/6/14,2,Sweet Greens and Lemon,15.2,9,7,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,6,7,,167908,2
9/6/14,2,Reg Orange,15.2,3,2,,167840,2
9/6/14,2,Reg Orange,15.2,1,3,,167840,2
9/6/14,2,Reg Orange,15.2,1,3,,167840,2
9/6/14,2,Reg Orange,15.2,1,3,,167840,2
9/6/14,2,Reg Orange,15.2,1,3,,167840,2
9/6/14,2,Reg Orange,15.2,1,3,19,167840,2
9/6/14,2,Reg Orange,15.2,1,7,,167840,2
9/6/14,2,Sweet Greens and Lemon,15.2,6,2,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,1,3,,167909,2
9/6/14,2,Sweet Greens and Lemon,15.2,85,7,,167909,2
9/6/14,1,Reg Orange,15.2,9,7,,167840,2
9/6/14,1,Sweet Greens and Lemon,15.2,9,7,,167909,2
9/6/14,1,Sweet Greens and Lemon,15.2,1,2,,167909,2
9/6/14,1,Sweet Greens and Lemon,15.2,182,6,,167909,2
9/6/14,1,Sweet Greens and Lemon,15.2,28,2,,167909,2
9/6/14,1,Sweet Greens and Lemon,15.2,10,4,,167909,2
9/6/14,1,Sweet Greens and Lemon,15.2,21,7,,167909,2
9/6/14,1,Sweet Greens and Lemon,32,11,2,,167908,2
