sbuxid,name
1,Mechanical
2,Broken Seal (Cracked Cap/Split Band/Lose Cap/No Cap)
3,Expanded
4,Barcode (Missing/Not readable)
5,Label Alligment
6,Low Volume
7,Fall on the Floor
8,Other Reasons
9,Unknown-Not Documented
